id,station_name,latitude,longitude,key,filename,title,rel_folder,date_start,date_end
kg_96237,Stasiun Meteorologi Depati Amir,-2.17,106.13,/stations/stakg_96237,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96239,Stasiun Klimatologi Bangka Belitung,-2.518,106.422,/stations/stakg_96239,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2017-01-01,2020-12-01
kg_96247,Stasiun Geofisika Tanjung Pandan,-2.7575,107.65,/stations/stakg_96247,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2019-04-01
kg_96249,Stasiun Meteorologi H. AS. Hanandjoeddin,-2.75,107.75,/stations/stakg_96249,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96253,Stasiun Meteorologi Fatmawati Soekarno,-3.8582,102.3367,/stations/stakg_96253,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96255,Stasiun Klimatologi Bengkulu,-3.8652,102.3119,/stations/stakg_96255,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96257,Stasiun Geofisika Kepahiang,-3.55,102.589,/stations/stakg_96257,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96291,Stasiun Klimatologi Lampung,-5.17236,105.18,/stations/stakg_96291,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96293,Stasiun Meteorologi Maritim Panjang,-5.4721,105.321,/stations/stakg_96293,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96295,Stasiun Meteorologi Radin Inten II,-5.16,105.11,/stations/stakg_96295,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96297,Stasiun Geofisika Lampung Utara,-4.83631,104.87,/stations/stakg_96297,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96503,Stasiun Meteorologi Nunukan,4.13,117.67,/stations/stakg_96503,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96505,Stasiun Meteorologi Yuvai Semaring,3.86,115.68,/stations/stakg_96505,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96509,Stasiun Meteorologi Juwata,3.33,117.57,/stations/stakg_96509,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96525,Stasiun Meteorologi Tanjung Harapan,2.5,117.22,/stations/stakg_96525,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96529,Stasiun Meteorologi Kalimarau ,2.14562,117.43375,/stations/stakg_96529,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96535,Stasiun Meteorologi Paloh,1.74,109.3,/stations/stakg_96535,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96557,Stasiun Meteorologi Nangapinoh,-0.42,111.47,/stations/stakg_96557,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96559,Stasiun Meteorologi Tebelian,0.06,111.47,/stations/stakg_96559,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96565,Stasiun Meteorologi Pangsuma,0.84,112.93,/stations/stakg_96565,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96581,Stasiun Meteorologi Supadio,-0.14206,109.45,/stations/stakg_96581,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96583,Stasiun Klimatologi Kalimantan Barat,0.075,109.19,/stations/stakg_96583,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96585,Stasiun Meteorologi Maritim Pontianak,-0.03,109.34,/stations/stakg_96585,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96595,Stasiun Meteorologi Beringin,-0.56,114.53,/stations/stakg_96595,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
